Customer_ID,Master_Customer_ID
CUST006573,MASTER0001
CUST010044,MASTER0002
CUST008760,MASTER0003
CUST006056,MASTER0004
CUST004606,MASTER0005
CUST008193,MASTER0006
CUST001072,MASTER0007
CUST001671,MASTER0008
CUST009431,MASTER0009
CUST010064,MASTER0010
CUST006176,MASTER0011
CUST004203,MASTER0012
CUST008984,MASTER0013
CUST010078,MASTER0014
CUST010008,MASTER0015
CUST010024,MASTER0016
CUST010009,MASTER0017
CUST001766,MASTER0018
CUST010075,MASTER0019
CUST010091,MASTER0020
CUST004550,MASTER0021
CUST010094,MASTER0022
CUST000972,MASTER0023
CUST008472,MASTER0024
CUST010090,MASTER0025
CUST009852,MASTER0026
CUST007872,MASTER0027
CUST001454,MASTER0028
CUST002612,MASTER0029
CUST005285,MASTER0030
CUST010013,MASTER0031
CUST008826,MASTER0032
CUST010042,MASTER0033
CUST005943,MASTER0034
CUST010047,MASTER0035
CUST010073,MASTER0036
CUST007502,MASTER0037
CUST007016,MASTER0038
CUST007290,MASTER0039
CUST010099,MASTER0040
CUST006755,MASTER0041
CUST001198,MASTER0042
CUST010045,MASTER0043
CUST005245,MASTER0044
CUST010035,MASTER0045
CUST010021,MASTER0046
CUST006818,MASTER0047
CUST000082,MASTER0048
CUST009325,MASTER0049
CUST010057,MASTER0050
CUST003932,MASTER0051
CUST010060,MASTER0052
CUST008899,MASTER0053
CUST006390,MASTER0054
CUST010086,MASTER0055
CUST010034,MASTER0056
CUST004112,MASTER0057
CUST010010,MASTER0058
CUST010061,MASTER0059
CUST003709,MASTER0060
CUST010014,MASTER0061
CUST001318,MASTER0062
CUST002450,MASTER0063
CUST008652,MASTER0064
CUST010004,MASTER0065
CUST003937,MASTER0066
CUST008775,MASTER0067
CUST002934,MASTER0068
CUST010005,MASTER0069
CUST010100,MASTER0070
CUST005966,MASTER0071
CUST004351,MASTER0072
CUST004363,MASTER0073
CUST010048,MASTER0074
CUST006445,MASTER0075
CUST010028,MASTER0076
CUST010020,MASTER0077
CUST010031,MASTER0078
CUST010043,MASTER0079
CUST010027,MASTER0080
CUST010063,MASTER0081
CUST010081,MASTER0082
CUST008369,MASTER0083
CUST004740,MASTER0084
CUST009809,MASTER0085
CUST010006,MASTER0086
CUST010007,MASTER0087
CUST000644,MASTER0088
CUST002208,MASTER0089
CUST002071,MASTER0090
CUST007091,MASTER0091
CUST010071,MASTER0092
CUST010039,MASTER0093
CUST004734,MASTER0094
CUST010049,MASTER0095
CUST006343,MASTER0096
CUST010098,MASTER0097
CUST010088,MASTER0098
